ANO_ELEICAO;SG_UF;DS_CARGO;TP_AGREMIACAO;DS_COMPOSICAO_COLIGACAO;NM_UE
2000;SP;PREFEITO;COLIGA플O;PPB / PDT / PTB / PL / PPS / PFL / PRTB / PSB ;EMBU GUACU
2000;PR;PREFEITO;COLIGA플O;PFL / PSC / PSB / PDT / PSDB / PTB ;PRUDENTOPOLIS
2000;PR;PREFEITO;COLIGA플O;PPS / PTB / PFL / PL / PDT / PSL / PSDB ;REBOUCAS
2000;PR;PREFEITO;COLIGA플O;PPB / PT / PTB / PSDB ;RENASCENCA
2000;PR;PREFEITO;COLIGA플O;PMDB / PDT ;SAO MATEUS DO SUL
2000;MA;PREFEITO;COLIGA플O;PFL / PSDB ;VIANA
2000;BA;PREFEITO;COLIGA플O;PL / PFL / PSL ;ANSELMO DA FONSECA
2000;BA;PREFEITO;COLIGA플O;PSB / PMDB / PSDB / PT;CAFARNAUM
2000;BA;PREFEITO;COLIGA플O;PPB / PTB / PMDB / PFL ;CALDEIRAO GRANDE
2000;BA;PREFEITO;COLIGA플O;PT / PDT / PSB ;AURELINO LEAL
2000;BA;PREFEITO;COLIGA플O;PSDB / PMDB / PDT / PT / PSB / PV / PC do B / PPS / PMN / PRP / PSDC / PSD / PST / PRN / PRTB ;VALENCA
2000;PR;PREFEITO;COLIGA플O;PPB / PFL / PTB;CONGONHINHAS
2000;AM;PREFEITO;COLIGA플O;PMDB / PSDB / PST / PSC / PSD / PPB ;RIO PRETO DA EVA
2000;MG;PREFEITO;COLIGA플O;PSL / PPB / PRP / PSDB / PSB ;RESSAQUINHA
2000;PR;PREFEITO;COLIGA플O;PSDB / PMDB / PTB / PPB / PT;RAMILANDIA
2000;PI;PREFEITO;COLIGA플O;PPB / PTB / PSB / PFL ;SIMPLICIO MENDES
2000;PI;PREFEITO;COLIGA플O;PFL / PPS / PMN ;UNIAO
2000;AM;PREFEITO;COLIGA플O;PPB / PSL / PSD ;SAO SEBASTIAO DO UATUMA
2000;AP;PREFEITO;COLIGA플O;PMDB / PDT / PSDB / PSL / PSC;MAZAGAO
2000;MG;PREFEITO;COLIGA플O;PMDB / PSD ;RIO PIRACICABA
2000;PR;PREFEITO;COLIGA플O;PDT / PMDB / PSL / PPS ;SAO TOME
2000;MS;PREFEITO;COLIGA플O;PDT / PT / PMDB / PPB ;INOCENCIA
2000;MS;PREFEITO;COLIGA플O;PSDB / PMDB / PFL / PTB / PPB ;MARACAJU
2000;AM;PREFEITO;COLIGA플O;PPS / PRP / PPB / PSL / PMN / PSD / PRONA / PV / PTN ;MANAUS
2000;AM;PREFEITO;COLIGA플O;PL / PRP / PSB / PMN / PSDC ;MANICORE
2000;AM;PREFEITO;COLIGA플O;PTB / PFL / PDT / PSD / PPB / PSL / PST;MARAA
2000;AL;PREFEITO;COLIGA플O;PDT / PTB ;PASSO DE CAMARAGIBE
2000;PA;PREFEITO;COLIGA플O;PMDB / PSB ;NOVO REPARTIMENTO
2000;PA;PREFEITO;COLIGA플O;PMDB / PFL / PL ;BREU BRANCO
2000;MG;PREFEITO;COLIGA플O;PTB / PMDB / PFL ;LIBERDADE
2000;SP;PREFEITO;COLIGA플O;PPB / PFL / PL / PSD ;RIO CLARO
2000;SP;PREFEITO;COLIGA플O;PDT / PMDB / PPS / PFL / PSDB ;RUBINEIA
2000;SP;PREFEITO;COLIGA플O;PDT / PMDB / PPS / PFL / PSDB ;RUBINEIA
2000;PI;PREFEITO;COLIGA플O;PT / PC do B / PSDB ;ALAGOINHA
2000;MG;PREFEITO;COLIGA플O;PPB / PMDB / PHS / PSD / PV ;PATOS DE MINAS
2000;MG;PREFEITO;COLIGA플O;PTB / PPB / PL / PT ;PEDRA DOURADA
2000;RJ;PREFEITO;COLIGA플O;PDT / PT / PSB / PC do B / PV / PST / PT do B / PPS / PSDC / PRONA ;CABO FRIO
2000;SP;PREFEITO;COLIGA플O;PMDB / PDT / PPB / PSD ;SAO JOAQUIM DA BARRA
2000;RN;PREFEITO;COLIGA플O;PPS / PMDB ;IPUEIRA
2000;PE;PREFEITO;COLIGA플O;PSDC / PSDB ;LAGOA DOS GATOS
2000;BA;PREFEITO;COLIGA플O;PSDB / PMDB / PDT / PT / PSB / PV / PC do B / PPS / PMN / PRP / PSDC / PSD / PST / PRN / PRTB ;VALENCA
2000;PR;PREFEITO;COLIGA플O;PSDB / PFL / PTB / PL / PSC / PRP ;CARAMBEI
2000;BA;PREFEITO;COLIGA플O;PMDB / PSDB / PV ;BOM JESUS DA LAPA
